t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),window_start,window_end
429,443,1.1493931125633758,0.0040456543456278,1.1414772717849633,1.1427467087959207,1.1466617790944307,1.1493883659114577,1.1521192715796886,1.1560557075740883,1.1573359281694884,2021-04-30,2021-05-14
430,444,1.1456317392468545,0.004001451612242869,1.1378022842131033,1.1390578923129435,1.1429302678255624,1.1456270805062136,1.148328132049934,1.1522214775509807,1.1534876695158984,2021-05-01,2021-05-15
431,445,1.1409335196675734,0.003952459844573122,1.133199817515418,1.134440095297281,1.1382651441191267,1.1409289555898703,1.1435969197923932,1.1474425125045358,1.1486931590934892,2021-05-02,2021-05-16
432,446,1.1393429910918496,0.003908167108868873,1.1316958295242252,1.1329222586405345,1.1367045424105184,1.1393385225049473,1.1419765684466125,1.1457789662823752,1.147015547267035,2021-05-03,2021-05-17
433,447,1.141831654636775,0.003871572389647426,1.1342559533161531,1.1354709564920018,1.1392179391471433,1.141827278900505,1.1444406000187755,1.1482072787991433,1.1494322229026266,2021-05-04,2021-05-18
434,448,1.1491189811599198,0.0038437017570313796,1.1415976489315989,1.142803972119664,1.1465241130653279,1.1491146955481764,1.1517091773940136,1.1554486087951372,1.1566646681633788,2021-05-05,2021-05-19
435,449,1.1488591928776328,0.0038031480158141747,1.1414170913848456,1.1426107367406007,1.1462917262171612,1.1488549962724188,1.1514220847059902,1.1551219640005839,1.156325143328922,2021-05-06,2021-05-20
436,450,1.1847589767571582,0.003820789444192897,1.1772820445627175,1.1784813503299996,1.1821796595821938,1.1847548694736612,1.1873338164719534,1.1910506134860381,1.192259250302374,2021-05-07,2021-05-21
437,451,1.199073511098408,0.0038009747911963055,1.1916351560273195,1.1928283213408715,1.19650760812386,1.199069494830674,1.201635035831481,1.2053324006949468,1.2065346902853564,2021-05-08,2021-05-22
438,452,1.1940030063261577,0.003745662529948016,1.1866727784061024,1.187848627218336,1.191474464962808,1.1939990895354597,1.196527277890604,1.2001707459481348,1.2013554930424006,2021-05-09,2021-05-23
439,453,1.1801173627084784,0.003673313537188972,1.172928636146627,1.1740818068777448,1.1776376773606814,1.1801135514421808,1.1825928932923444,1.1861659191004377,1.1873277483801568,2021-05-10,2021-05-24
440,454,1.19637196593602,0.003647509409887869,1.1892335175526367,1.1903786757020232,1.1939097419139384,1.1963682590851001,1.1988301490201454,1.2023779005612694,1.2035314800454135,2021-05-11,2021-05-25
